iter	Passed	Remaining
0	154	77160
1	157	39142
2	159	26401
3	161	20018
4	163	16190
5	165	13645
6	167	11826
7	170	10462
8	172	9400
9	174	8551
10	176	7854
11	178	7273
12	181	6792
13	183	6367
14	185	5996
15	187	5673
16	189	5386
17	191	5131
18	193	4904
19	196	4706
20	198	4521
21	200	4351
22	202	4197
23	204	4057
24	206	3929
25	209	3810
26	211	3699
27	213	3596
28	215	3498
29	217	3408
30	219	3323
31	221	3244
32	223	3168
33	226	3097
34	228	3029
35	230	2965
36	232	2905
37	234	2847
38	236	2793
39	238	2741
40	240	2691
41	242	2644
42	244	2599
43	246	2556
44	248	2515
45	250	2475
46	253	2438
47	255	2403
48	257	2368
49	259	2334
50	261	2303
51	263	2272
52	265	2241
53	267	2212
54	270	2185
55	272	2158
56	274	2131
57	276	2105
58	278	2080
59	280	2055
60	282	2031
61	284	2009
62	286	1987
63	288	1965
64	290	1944
65	292	1923
66	294	1904
67	296	1884
68	298	1865
69	300	1847
70	302	1829
71	304	1811
72	306	1794
73	308	1777
74	310	1760
75	312	1744
76	314	1729
77	316	1714
78	319	1700
79	321	1686
80	323	1671
81	325	1657
82	327	1643
83	329	1630
84	331	1617
85	333	1605
86	335	1592
87	337	1580
88	339	1568
89	341	1556
90	343	1545
91	346	1535
92	348	1525
93	350	1514
94	352	1503
95	354	1493
96	356	1483
97	358	1472
98	360	1461
99	362	1451
100	364	1441
101	367	1432
102	369	1422
103	371	1413
104	373	1403
105	375	1394
106	377	1385
107	379	1376
108	380	1366
109	382	1357
110	384	1348
111	386	1339
112	388	1331
113	390	1322
114	392	1314
115	395	1307
116	397	1300
117	399	1292
118	401	1285
119	403	1277
120	405	1269
121	407	1262
122	409	1254
123	411	1247
124	413	1239
125	415	1232
126	417	1225
127	419	1218
128	421	1211
129	423	1204
130	425	1197
131	427	1190
132	429	1184
133	431	1177
134	433	1171
135	435	1164
136	437	1158
137	439	1151
138	441	1145
139	443	1139
140	444	1132
141	447	1127
142	449	1121
143	451	1115
144	453	1109
145	455	1103
146	457	1098
147	459	1092
148	461	1087
149	463	1081
150	465	1075
151	467	1070
152	469	1065
153	471	1059
154	473	1054
155	475	1049
156	477	1043
157	479	1038
158	481	1033
159	483	1027
160	485	1022
161	487	1017
162	489	1012
163	491	1007
164	493	1002
165	495	996
166	497	992
167	499	987
168	501	982
169	503	977
170	505	972
171	507	967
172	509	963
173	511	958
174	513	953
175	515	949
176	517	944
177	519	940
178	522	936
179	524	931
180	526	927
181	528	923
182	530	919
183	533	915
184	537	915
185	539	911
186	542	907
187	544	904
188	546	899
189	549	896
190	551	891
191	553	887
192	555	883
193	557	879
194	559	875
195	561	871
196	563	867
197	565	863
198	568	859
199	570	855
200	572	851
201	574	847
202	576	843
203	578	839
204	580	835
205	582	831
206	584	826
207	586	822
208	588	819
209	590	815
210	592	811
211	594	807
212	596	803
213	598	799
214	600	795
215	602	792
216	604	788
217	606	784
218	608	780
219	610	776
220	612	773
221	614	769
222	616	765
223	618	762
224	620	758
225	622	755
226	624	751
227	626	747
228	628	743
229	630	740
230	632	736
231	634	733
232	636	729
233	638	726
234	640	722
235	642	719
236	644	715
237	646	712
238	648	708
239	651	705
240	653	701
241	655	698
242	657	695
243	659	691
244	661	687
245	663	684
246	665	681
247	667	678
248	669	674
249	671	671
250	673	668
251	675	664
252	677	661
253	679	658
254	681	654
255	683	651
256	685	648
257	687	645
258	689	641
259	691	638
260	693	635
261	695	632
262	697	628
263	699	625
264	702	622
265	703	619
266	706	616
267	708	613
268	710	610
269	712	607
270	714	603
271	716	600
272	718	597
273	720	594
274	722	591
275	724	588
276	726	584
277	728	581
278	730	578
279	732	575
280	734	572
281	736	569
282	738	566
283	740	563
284	742	560
285	744	557
286	746	554
287	748	551
288	750	548
289	753	545
290	755	542
291	757	539
292	759	536
293	761	533
294	763	530
295	765	527
296	767	524
297	769	521
298	771	518
299	773	515
300	775	512
301	777	510
302	780	507
303	782	504
304	784	501
305	786	498
306	788	495
307	790	492
308	792	490
309	794	487
310	797	484
311	799	481
312	801	478
313	802	475
314	805	472
315	806	469
316	809	467
317	811	464
318	813	461
319	815	458
320	817	455
321	819	452
322	821	450
323	823	447
324	825	444
325	827	441
326	829	438
327	831	436
328	833	433
329	835	430
330	837	427
331	839	424
332	841	422
333	843	419
334	845	416
335	848	413
336	850	411
337	852	408
338	854	405
339	856	403
340	859	400
341	861	397
342	863	395
343	865	392
344	867	389
345	869	386
346	871	384
347	873	381
348	875	378
349	878	376
350	880	373
351	882	371
352	884	368
353	886	365
354	889	363
355	891	360
356	893	357
357	895	355
358	897	352
359	900	350
360	902	347
361	904	344
362	906	341
363	908	339
364	910	336
365	912	334
366	914	331
367	916	328
368	919	326
369	921	323
370	923	321
371	925	318
372	927	315
373	929	313
374	932	310
375	934	308
376	936	305
377	938	302
378	940	300
379	942	297
380	944	295
381	947	292
382	949	290
383	952	287
384	954	285
385	957	282
386	959	280
387	961	277
388	963	274
389	965	272
390	967	269
391	970	267
392	972	264
393	974	262
394	976	259
395	978	256
396	980	254
397	982	251
398	984	249
399	986	246
400	988	244
401	990	241
402	992	238
403	994	236
404	997	233
405	999	231
406	1001	228
407	1003	226
408	1005	223
409	1007	221
410	1009	218
411	1011	216
412	1013	213
413	1015	211
414	1017	208
415	1019	205
416	1021	203
417	1023	200
418	1025	198
419	1027	195
420	1029	193
421	1031	190
422	1033	188
423	1035	185
424	1037	183
425	1040	180
426	1042	178
427	1044	175
428	1046	173
429	1048	170
430	1050	168
431	1052	165
432	1054	163
433	1056	160
434	1058	158
435	1060	155
436	1062	153
437	1064	150
438	1066	148
439	1068	145
440	1070	143
441	1072	140
442	1074	138
443	1076	135
444	1078	133
445	1080	130
446	1082	128
447	1085	125
448	1087	123
449	1089	121
450	1091	118
451	1093	116
452	1095	113
453	1097	111
454	1099	108
455	1101	106
456	1103	103
457	1105	101
458	1107	98
459	1109	96
460	1111	94
461	1113	91
462	1115	89
